code,hours,am_fraction,pm_fraction,sleepover_fraction,ph_fraction,night_fraction,duty_supervisor,time_range,category_zh
/,0,,,,,,,未到職/已離職/已調職,"未有資料, 以 '/  輸入, 方便計算."
1-6p,5,,0.5,,,,,1-6p,外購PT更期
3-4p,1,,0.125,,,,,3-4p,特定鐘點補鐘
630-10p,3.5,,0.5,,,,,630-10p,實習學生更期
6-830p,2.5,,0.3125,,,,,6-830p,吊奶人手g4
8p-12a,4,,,,,1,,8p-12a,夜更4小時
930a-3p,5.5,1,,,,,,930a-3p,TAHA支援人手
9a-645p,9.75,1,,,,,,9a-645p,實習學生更期
A1,8,,1,,,,,1-9p,午更 (8小時)
A10,8,1,,,,,,10a-6p,早更 (8小時)
A1020x,8.1667,1,,,,,,1020a-630p,早更 (8小時10分鐘)
A1030,8,1,,,,,,1030a-630p,早更 (8小時)
A1030s,8.5,1,,,,,,1030a-7p,早更 (8.5小時)
A10s,8.5,1,,,,,,10a-630p,早更 (8.5小時)
A10x,8.1667,1,,,,,,10a-610p,早更 (8小時10分鐘)
A10#,8,1,,,,,1,10a-6p,早更 (8小時)
A11,8,1,,,,,,11a-7p,早更 (8小時)
A1130,8,1,,,,,,1130a-730p,早更 (8小時)
A12,8,0.5,0.5,,,,,12-8p,半早更+半午更 (8小時)
A120x,8.1667,,1,,,,,1320-2130,午更 (8小時10分鐘)
A1230,8,0.5,0.5,,,,,1230-830p,半早更+半午更 (8小時)
A1230s,8.5,,1,,,,,1230a-9p,午更 (8.5小時)
A1245,8,0.5,0.5,,,,,1245-845p,半早更+半午更 (8小時)
A12s,8.5,0.5,0.5,,,,,12-830p,半早更+半午更 (8.5小時)
A130,8,,1,,,,,130-930p,午更 (8小時)
A130x,8.1667,,1,,,,,130-940p,午更 (8小時10分鐘)
A1s,8.5,,1,,,,,1-930p,午更 (8.5小時)
A1x,8.1667,,1,,,,,1-910p,午更 (8小時10分鐘)
A220x,8.1667,,1,,,,,1420-2230,午更 (8小時10分鐘)
A230,8,,1,,,,,230-1030p,午更 (8小時)
