section,key,english,chinese_current,chinese_suggested,comment
navigation,nav_dashboard,Dashboard,儀表板,,OK (Cherry 2026-08-01)
navigation,nav_home,Home,主頁,,OK (Cherry 2026-08-01)
navigation,nav_roster,Roster,更表,,OK (Cherry 2026-08-01)
navigation,nav_scheduling,Task Scheduling,任務排程,,OK (Cherry 2026-08-01)
navigation,nav_compliance,Compliance,合規,,OK (Cherry 2026-08-01)
navigation,nav_approval,Approval,審批,,OK (Cherry 2026-08-01)
navigation,nav_personnel,Staff Portfolio,員工檔案,,OK (Cherry 2026-08-01)
navigation,nav_roi,ROI,投資回報,,OK (Cherry 2026-08-01)
navigation,nav_reports,Reports,報告,,OK (Cherry 2026-08-01)
navigation,nav_alert,Alert Centre,警報中心,,OK (Cherry 2026-08-01)
navigation,nav_ai,AI Insights,AI 洞察,,OK (Cherry 2026-08-01)
navigation,urgent_alert,🚨 Urgent Alert,🚨 緊急警報,,OK (Cherry 2026-08-01)
navigation,staff_shortage,P-shift understaffed - F3,P更人手不足 - F3,,OK — already uses the P更 letter form
navigation,new_request,+ New Request,+ 新增請求,,OK (Cherry 2026-08-01)
navigation,topnav_roster,Roster,更表,,OK (Cherry 2026-08-01)
navigation,topnav_scheduling,Task Scheduling,任務排程,,OK (Cherry 2026-08-01)
navigation,topnav_staffing,Staffing,人手,,"CONFIRMED correct as-is — top nav reads 更表 | 人手 | 合規 | 報告"
navigation,topnav_compliance,Compliance,合規,,OK (Cherry 2026-08-01)
navigation,topnav_reports,Reports,報告,,OK (Cherry 2026-08-01)
navigation,search_ph,Search anything...,搜尋...,,OK (Cherry 2026-08-01)
roster page,roster_create_shift,Create Shift,新增更份,,OK (Cherry 2026-08-01)
roster page,roster_create_event,Create Special Event,新增特別活動,,OK (Cherry 2026-08-01)
roster page,roster_save,Save,儲存,,OK (Cherry 2026-08-01)
roster page,roster_save_publish,Save & Publish,儲存並發佈,,OK (Cherry 2026-08-01)
roster page,roster_ai_suggest,AI Suggestion,AI 排更建議,,OK (Cherry 2026-08-01)
roster page,roster_validate,Validate,驗證,,OK (Cherry 2026-08-01)
roster page,roster_draft,Draft,草稿,,OK (Cherry 2026-08-01)
roster page,roster_published,Published,已發佈,,OK (Cherry 2026-08-01)
roster page,roster_period,Roster Period,更表週期,,OK (Cherry 2026-08-01)
staff portfolio,staff_add,Add staff,新增員工,,OK (Cherry 2026-08-01)
staff portfolio,staff_title,Staff Portfolio,員工檔案,,OK (Cherry 2026-08-01)
